confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,149,,30A-nyh,{},,,22233,22233
,,146,,30A-oji,{},,,22234,22234
,,147,,30A-ond,{},,,22235,22235
,,145,,30A-ork,{},,,22236,22236
,,146,,30A-orh,{},,,22141,22141
,,145,,30A-otm,{},,,22237,22237
,,145,,30A-pai,{},,,22238,22238
,,145,,30A-pal,{},,,22239,22239
,,146,,30A-pan,{},,,22249,22249
,,146,,30A-psh,{},,,22240,22240
,,146,,30A-psm,{},,,22241,22241
,,148,,30A-pau,{},,,22242,22242
,,145,,30A-prs,{},,,22243,22243
,,145,,30A-pil,{},,,22244,22244
,,145,,30A-pip,{},,,22245,22245
,,148,,30A-prh,{},,,22246,22246
,,145,,30A-pit,{},,,22247,22247
,,146,,30A-ppi,{},,,22248,22248
,,145,,30A-pmc,{},,,22099,22099
,,146,,30A-qaf,{},,,22250,22250
,,145,,30A-qim,{},,,22156,22156
,,145,,30A-ram,{},,,22251,22251
,,145,,30A-rap,{},,,22252,22252
,,146,,30A-ren,{},,,22253,22253
,,147,,30A-ret,{},,,22254,22254
,,147,,30A-rus,{},,,22255,22255
,,145,,30A-smt,{},,,22256,22256
,,145,,30A-san,{},,,22257,22257
,,145,,30A-saw,{},,,22258,22258
,,145,,30A-sml,{},,,22260,22260
,,147,,30A-snc,{},,,22261,22261
,,145,,30A-snt,{},,,22262,22262
,,145,,30A-shk,{},,,22263,22263
,,149,,30A-shn,{},,,22264,22264
,,145,,30A-srn,{},,,22267,22267
,,146,,30A-spa,{},,,22268,22268
,,145,,30A-sue,{},,,22269,22269
,,149,,30A-sup,{},,,22270,22270
,,149,,30A-swa,{},,,22271,22271
,,145,,30A-tab,{},,,22273,22273
,,146,,30A-tag,{},,,22274,22274
,,146,,30A-tap,{},,,22275,22275
,,147,,30A-tml,{},,,22277,22277
,,145,,30A-tha,{},,,22279,22279
,,145,,30A-tho,{},,,22280,22280
,,145,,30A-tib,{},,,22281,22281
,,147,,30A-tid,{},,,22282,22282
,,146,,30A-tgr,{},,,22283,22283
,,146,,30A-tiw,{},,,22284,22284
,,145,,30A-tol,{},,,22163,22163
,,145,,30A-tot,{},,,22217,22217
,,148,,30A-tsz,{},,,22285,22285
,,145,,30A-tsi,{},,,22107,22107
,,145,,30A-tuk,{},,,22286,22286
,,145,,30A-tsh,{},,,22287,22287
,,146,,30A-tun,{},,,22288,22288
,,145,,30A-tur,{},,,22289,22289
,,145,,30A-tvl,{},,,22290,22290
,,147,,30A-ukr,{},,,22291,22291
,,145,,30A-una,{},,,22292,22292
,,145,,30A-uhi,{},,,22293,22293
,,145,,30A-urk,{},,,22294,22294
,,145,,30A-usa,{},,,22295,22295
,,145,,30A-uzb,{},,,22296,22296
,,145,,30A-vie,{},,,22297,22297
,,148,,30A-wam,{},,,22299,22299
,,145,,30A-wra,{},,,22300,22300
,,147,,30A-wrd,{},,,22301,22301
,,147,,30A-war,{},,,22302,22302
,,145,,30A-wat,{},,,22303,22303
,,145,,30A-wic,{},,,22305,22305
,,145,,30A-ykt,{},,,22307,22307
,,145,,30A-yaq,{},,,22308,22308
,,146,,30A-yaz,{},,,22309,22309
,,145,,30A-yel,{},,,22310,22310
,,145,,30A-yid,{},,,22311,22311
,,149,,30A-yim,{},,,22312,22312
,,145,,30A-yor,{},,,22313,22313
,,145,,30A-yko,{},,,22314,22314
,,145,,30A-ylb,{},,,22315,22315
,,145,,30A-ypk,{},,,22316,22316
,,145,,30A-yur,{},,,22317,22317
,,148,,30A-zan,{},,,22318,22318
,,145,,30A-zqc,{},,,22109,22109
,,149,,30A-zul,{},,,22319,22319
,,145,,30A-zun,{},,,22320,22320
